regime_beta_log,estimator,threshold,false_go_abs,false_stop_abs
4.0,dros,0.54,0.090625,0.0
4.0,dros,0.56,0.0875,0.0
4.0,dros,0.58,0.0875,0.0
4.0,dros,0.6,0.003125,0.0
4.0,dros,0.62,0.03125,0.015625
4.0,dros,0.64,0.01875,0.0
4.0,dros,0.66,0.0,0.05625
4.0,dros,0.68,0.0,0.0
4.0,dros,0.7,0.0,0.01875
4.0,dros,0.72,0.00625,0.0
4.0,dros,0.74,0.0,0.0
4.0,dros,0.76,0.0,0.003125
4.0,dros,0.78,0.0,0.1125
4.0,dros,0.8,0.0,0.0
4.0,dros,0.82,0.0,0.0
4.0,dros,0.84,0.0,0.0
