knob,seed,metric,n_events,onpolicy_mean,v_true_pi0
10000,1000,rev,89,0.006467387635643055,0.00814766840343161
10000,1001,ctr,507,0.0507,0.04967408156579895
10000,1001,cvr,85,0.0085,0.00900742069857814
10000,1001,rev,85,0.007166573267515493,0.00814766840343161
10000,1002,ctr,488,0.0488,0.04967408156579895
10000,1002,cvr,104,0.0104,0.00900742069857814
10000,1002,rev,104,0.010690001986830075,0.00814766840343161
10000,1003,ctr,559,0.0559,0.04967408156579895
10000,1003,cvr,110,0.011,0.00900742069857814
10000,1003,rev,110,0.01067050917842016,0.00814766840343161
10000,1004,ctr,492,0.0492,0.04967408156579895
10000,1004,cvr,97,0.0097,0.00900742069857814
10000,1004,rev,97,0.009347906442562339,0.00814766840343161
10000,1005,ctr,499,0.0499,0.04967408156579895
10000,1005,cvr,90,0.009,0.00900742069857814
10000,1005,rev,90,0.008383773308664317,0.00814766840343161
10000,1006,ctr,503,0.0503,0.04967408156579895
10000,1006,cvr,98,0.0098,0.00900742069857814
10000,1006,rev,98,0.008846780009391033,0.00814766840343161
10000,1007,ctr,508,0.0508,0.04967408156579895
10000,1007,cvr,82,0.0082,0.00900742069857814
10000,1007,rev,82,0.006621339518325208,0.00814766840343161
10000,1008,ctr,495,0.0495,0.04967408156579895
10000,1008,cvr,88,0.0088,0.00900742069857814
10000,1008,rev,88,0.007898815345864063,0.00814766840343161
10000,1009,ctr,454,0.0454,0.04967408156579895
10000,1009,cvr,86,0.0086,0.00900742069857814
10000,1009,rev,86,0.007021748291998701,0.00814766840343161
10000,1010,ctr,495,0.0495,0.04967408156579895
10000,1010,cvr,75,0.0075,0.00900742069857814
10000,1010,rev,75,0.005389546824348367,0.00814766840343161
10000,1011,ctr,494,0.0494,0.04967408156579895
10000,1011,cvr,75,0.0075,0.00900742069857814
10000,1011,rev,75,0.006350454754126828,0.00814766840343161
10000,1012,ctr,483,0.0483,0.04967408156579895
10000,1012,cvr,88,0.0088,0.00900742069857814
10000,1012,rev,88,0.007616641473300981,0.00814766840343161
10000,1013,ctr,491,0.0491,0.04967408156579895
10000,1013,cvr,92,0.0092,0.00900742069857814
10000,1013,rev,92,0.008439869468528155,0.00814766840343161
10000,1014,ctr,482,0.0482,0.04967408156579895
10000,1014,cvr,91,0.0091,0.00900742069857814
10000,1014,rev,91,0.009254985555187006,0.00814766840343161
10000,1015,ctr,503,0.0503,0.04967408156579895
10000,1015,cvr,107,0.0107,0.00900742069857814
10000,1015,rev,107,0.010952622675065032,0.00814766840343161
10000,1016,ctr,491,0.0491,0.04967408156579895
10000,1016,cvr,78,0.0078,0.00900742069857814
10000,1016,rev,78,0.00731831637506537,0.00814766840343161
10000,1017,ctr,456,0.0456,0.04967408156579895
10000,1017,cvr,88,0.0088,0.00900742069857814
10000,1017,rev,88,0.007942112603118513,0.00814766840343161
10000,1018,ctr,513,0.0513,0.04967408156579895
10000,1018,cvr,87,0.0087,0.00900742069857814
10000,1018,rev,87,0.00646317495438904,0.00814766840343161
10000,1019,ctr,472,0.0472,0.04967408156579895
10000,1019,cvr,87,0.0087,0.00900742069857814
10000,1019,rev,87,0.007823895888154927,0.00814766840343161
10000,1020,ctr,526,0.0526,0.04967408156579895
10000,1020,cvr,95,0.0095,0.00900742069857814
10000,1020,rev,95,0.008699018999188096,0.00814766840343161
10000,1021,ctr,529,0.0529,0.04967408156579895
10000,1021,cvr,111,0.0111,0.00900742069857814
10000,1021,rev,111,0.010637604084510997,0.00814766840343161
10000,1022,ctr,496,0.0496,0.04967408156579895
10000,1022,cvr,72,0.0072,0.00900742069857814
10000,1022,rev,72,0.006242437264047259,0.00814766840343161
10000,1023,ctr,474,0.0474,0.04967408156579895
10000,1023,cvr,79,0.0079,0.00900742069857814
10000,1023,rev,79,0.007979793512196206,0.00814766840343161
10000,1024,ctr,486,0.0486,0.04967408156579895
10000,1024,cvr,89,0.0089,0.00900742069857814
10000,1024,rev,89,0.008134428367953245,0.00814766840343161
10000,1025,ctr,471,0.0471,0.04967408156579895
10000,1025,cvr,105,0.0105,0.00900742069857814
10000,1025,rev,105,0.009264787118001579,0.00814766840343161
10000,1026,ctr,477,0.0477,0.04967408156579895
10000,1026,cvr,75,0.0075,0.00900742069857814
10000,1026,rev,75,0.005574389222490476,0.00814766840343161
10000,1027,ctr,491,0.0491,0.04967408156579895
10000,1027,cvr,87,0.0087,0.00900742069857814
10000,1027,rev,87,0.008744729491618504,0.00814766840343161
10000,1028,ctr,483,0.0483,0.04967408156579895
10000,1028,cvr,92,0.0092,0.00900742069857814
10000,1028,rev,92,0.007921106246527788,0.00814766840343161
10000,1029,ctr,541,0.0541,0.04967408156579895
10000,1029,cvr,93,0.0093,0.00900742069857814
10000,1029,rev,93,0.0071751002657948395,0.00814766840343161
10000,1030,ctr,493,0.0493,0.04967408156579895
10000,1030,cvr,103,0.0103,0.00900742069857814
10000,1030,rev,103,0.008237498505093142,0.00814766840343161
10000,1031,ctr,499,0.0499,0.04967408156579895
10000,1031,cvr,84,0.0084,0.00900742069857814
10000,1031,rev,84,0.006774380349007385,0.00814766840343161
10000,1032,ctr,464,0.0464,0.04967408156579895
10000,1032,cvr,89,0.0089,0.00900742069857814
