scenario,estimator,gate_form,seed,stat_ctr,stat_cvr,stat_rev,pass_ctr,pass_rev,pass_hhi,deploy_ope,deploy_full,true_pass_ctr,true_pass_rev,true_pass_hhi,true_deploy_ope,true_deploy_full,err_ctr,err_rev,err_hhi,err_ope,err_full,false_go_full,false_stop_full,ess_ratio_raw,max_weight_raw
s1_relevance,snips,comparative,1015,0.007485520276518116,0.0010155160725308018,0.0017336735188827352,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6984740150772614,2.9085200224515755
s1_relevance,snips,absolute,1015,0.057785520276518114,0.011715516072530801,0.012686296193947767,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6984740150772614,2.9085200224515755
s1_relevance,ips,comparative,1016,0.008029630024086853,0.0016487771681376329,0.0010526311469182753,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6967586970799587,2.9055182640609303
s1_relevance,ips,absolute,1016,0.05712963002408685,0.009448777168137633,0.008370947521983646,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6967586970799587,2.9055182640609303
s1_relevance,snips,comparative,1016,0.007922393429123514,0.0016310411056136634,0.0010369182513771035,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6967586970799587,2.9055182640609303
s1_relevance,snips,absolute,1016,0.05702239342912351,0.009431041105613663,0.008355234626442474,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6967586970799587,2.9055182640609303
s1_relevance,ips,comparative,1017,0.009437586229965593,0.0011493956533436527,0.001485509285383423,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6919119602802626,2.9325754995843383
s1_relevance,ips,absolute,1017,0.055037586229965595,0.009949395653343653,0.009427621888501936,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6919119602802626,2.9325754995843383
s1_relevance,snips,comparative,1017,0.009564714121326319,0.0011723771424743384,0.001507285561803389,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6919119602802626,2.9325754995843383
s1_relevance,snips,absolute,1017,0.05516471412132632,0.009972377142474339,0.009449398164921902,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6919119602802626,2.9325754995843383
s1_relevance,ips,comparative,1018,0.00911855648927426,0.0016136969753830308,0.0012801721972061902,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7030514911070064,2.9094295479753463
s1_relevance,ips,absolute,1018,0.06041855648927426,0.01031369697538303,0.0077433471515952305,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7030514911070064,2.9094295479753463
s1_relevance,snips,comparative,1018,0.008823817298902005,0.001563383779025736,0.0012423979105822183,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7030514911070064,2.9094295479753463
s1_relevance,snips,absolute,1018,0.060123817298902,0.010263383779025735,0.007705572864971259,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.7030514911070064,2.9094295479753463
s1_relevance,ips,comparative,1019,0.009093405765350324,0.00201482104920038,0.001766826951520896,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6953380983833118,2.909753765292501
s1_relevance,ips,absolute,1019,0.05629340576535032,0.01071482104920038,0.009590722839675823,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6953380983833118,2.909753765292501
s1_relevance,snips,comparative,1019,0.009253877073214907,0.00204536497035639,0.0017941664918547096,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6953380983833118,2.909753765292501
s1_relevance,snips,absolute,1019,0.056453877073214906,0.01074536497035639,0.009618062380009637,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6953380983833118,2.909753765292501
s1_relevance,ips,comparative,1020,0.010599859849901631,0.001649964494882656,0.001492786688636923,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6973024191004996,2.8972751630510603
s1_relevance,ips,absolute,1020,0.06319985984990163,0.011149964494882656,0.010191805687825019,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6973024191004996,2.8972751630510603
s1_relevance,snips,comparative,1020,0.010522674131718375,0.0016363470909944305,0.001480339479996472,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6973024191004996,2.8972751630510603
s1_relevance,snips,absolute,1020,0.06312267413171838,0.01113634709099443,0.010179358479184568,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6973024191004996,2.8972751630510603
s1_relevance,ips,comparative,1021,0.009063349890289715,0.0017275302815864847,0.00047733717588212266,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6974661297563484,2.9069782123525525
s1_relevance,ips,absolute,1021,0.06196334989028972,0.012827530281586485,0.01111494126039312,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6974661297563484,2.9069782123525525
s1_relevance,snips,comparative,1021,0.009120567494357953,0.0017393753569435264,0.00048760082866082174,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6974661297563484,2.9069782123525525
s1_relevance,snips,absolute,1021,0.062020567494357956,0.012839375356943527,0.011125204913171819,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6974661297563484,2.9069782123525525
s1_relevance,ips,comparative,1022,0.008245257772372373,0.0015992076028003236,0.0007068495867097232,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6917738161140415,2.9216814925081107
s1_relevance,ips,absolute,1022,0.05784525777237237,0.008799207602800323,0.006949286850756982,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6917738161140415,2.9216814925081107
s1_relevance,snips,comparative,1022,0.008782548575420157,0.0016809383012388514,0.0007713974521085694,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6917738161140415,2.9216814925081107
s1_relevance,snips,absolute,1022,0.058382548575420155,0.008880938301238851,0.007013834716155828,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6917738161140415,2.9216814925081107
s1_relevance,ips,comparative,1023,0.008938551431479508,0.0013233170291637193,0.0011161183923623242,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6997038086193729,2.9231279560194627
s1_relevance,ips,absolute,1023,0.056338551431479506,0.00922331702916372,0.00909591190455853,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6997038086193729,2.9231279560194627
s1_relevance,snips,comparative,1023,0.0087705909756471,0.0012958198271032575,0.001089001019428817,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6997038086193729,2.9231279560194627
s1_relevance,snips,absolute,1023,0.0561705909756471,0.009195819827103258,0.009068794531625023,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6997038086193729,2.9231279560194627
s1_relevance,ips,comparative,1024,0.00945831260824987,0.0010962142871354507,0.0019387686781384104,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6992309862887895,2.9221200002107155
s1_relevance,ips,absolute,1024,0.05805831260824987,0.00999621428713545,0.010073197046091656,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6992309862887895,2.9221200002107155
s1_relevance,snips,comparative,1024,0.00927030721272884,0.0010638443794282314,0.0019061494835781023,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6992309862887895,2.9221200002107155
s1_relevance,snips,absolute,1024,0.05787030721272884,0.009963844379428231,0.010040577851531347,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6992309862887895,2.9221200002107155
s1_relevance,ips,comparative,1025,0.009803211890340773,0.002452981467503789,0.002124657943746819,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6975488916661914,2.9265336650817306
s1_relevance,ips,absolute,1025,0.056903211890340775,0.01295298146750379,0.011389445061748398,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6975488916661914,2.9265336650817306
s1_relevance,snips,comparative,1025,0.010092597545324919,0.0025188548497162844,0.002182579841467665,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6975488916661914,2.9265336650817306
s1_relevance,snips,absolute,1025,0.05719259754532492,0.013018854849716285,0.011447366959469244,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6975488916661914,2.9265336650817306
s1_relevance,ips,comparative,1026,0.00910528350214003,0.0011666085760965277,0.0006441330343521972,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6937535901538562,2.9409264310062375
s1_relevance,ips,absolute,1026,0.05680528350214003,0.008666608576096527,0.006218522256842673,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6937535901538562,2.9409264310062375
s1_relevance,snips,comparative,1026,0.009284221794314255,0.0011939086447158628,0.0006637215599942696,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6937535901538562,2.9409264310062375
s1_relevance,snips,absolute,1026,0.056984221794314255,0.008693908644715862,0.006238110782484745,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6937535901538562,2.9409264310062375
s1_relevance,ips,comparative,1027,0.007539171959972113,0.002020713886471459,0.0022725458986115974,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7011363694933898,2.9194032858402963
s1_relevance,ips,absolute,1027,0.05663917195997211,0.010720713886471459,0.011017275390230102,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7011363694933898,2.9194032858402963
s1_relevance,snips,comparative,1027,0.007285844824774769,0.0019727638963471412,0.002223269492977355,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7011363694933898,2.9194032858402963
s1_relevance,snips,absolute,1027,0.05638584482477477,0.01067276389634714,0.01096799898459586,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7011363694933898,2.9194032858402963
s1_relevance,ips,comparative,1028,0.0111758303031992,0.0020885694203503346,0.0018822790841459477,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7046122886386562,2.9092183407719165
s1_relevance,ips,absolute,1028,0.0594758303031992,0.011288569420350334,0.009803385330673736,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7046122886386562,2.9092183407719165
s1_relevance,snips,comparative,1028,0.010042976649082519,0.0018735527143640424,0.0016955511168699668,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7046122886386562,2.9092183407719165
s1_relevance,snips,absolute,1028,0.05834297664908252,0.011073552714364042,0.009616657363397755,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7046122886386562,2.9092183407719165
s1_relevance,ips,comparative,1029,0.009894089110322225,0.001215264520281657,0.0006261168598752313,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6925878229251681,2.894213108495517
s1_relevance,ips,absolute,1029,0.06399408911032223,0.010515264520281656,0.007801217125670071,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6925878229251681,2.894213108495517
s1_relevance,snips,comparative,1029,0.00994802364405798,0.001224126837050192,0.0006326917641217636,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6925878229251681,2.894213108495517
s1_relevance,snips,absolute,1029,0.06404802364405798,0.010524126837050191,0.007807792029916603,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6925878229251681,2.894213108495517
s1_relevance,ips,comparative,1030,0.009610525958456476,0.0023397037806696594,0.0014515356413477166,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6995061955853707,2.9052707916238
s1_relevance,ips,absolute,1030,0.05891052595845647,0.01263970378066966,0.009689034146440859,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6995061955853707,2.9052707916238
s1_relevance,snips,comparative,1030,0.009371205834249649,0.002288355818153412,0.0014121745795061431,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6995061955853707,2.9052707916238
s1_relevance,snips,absolute,1030,0.058671205834249646,0.012588355818153412,0.009649673084599285,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6995061955853707,2.9052707916238
s1_relevance,ips,comparative,1031,0.010655675173469492,0.0014364044125404936,0.0015520850712380076,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7044084649848309,2.947116776912526
s1_relevance,ips,absolute,1031,0.06055567517346949,0.009836404412540493,0.008326465420245392,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7044084649848309,2.947116776912526
s1_relevance,snips,comparative,1031,0.009718822225816659,0.001284226033853515,0.0014232668613817024,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7044084649848309,2.947116776912526
s1_relevance,snips,absolute,1031,0.05961882222581666,0.009684226033853514,0.008197647210389087,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7044084649848309,2.947116776912526
s1_relevance,ips,comparative,1032,0.009400550483252418,0.0022655656163061734,0.0013590523844762429,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6960000567034851,2.8813999800284082
s1_relevance,ips,absolute,1032,0.055800550483252415,0.011165565616306173,0.008384200637787359,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6960000567034851,2.8813999800284082
s1_relevance,snips,comparative,1032,0.009552232748163227,0.002295916898991099,0.001381843101255783,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6960000567034851,2.8813999800284082
s1_relevance,snips,absolute,1032,0.05595223274816322,0.011195916898991099,0.0084069913545669,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6960000567034851,2.8813999800284082
s1_relevance,ips,comparative,1033,0.007988794231842795,0.0015549317387867374,0.00079248112200814,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6892833807194509,2.8943196439511274
s1_relevance,ips,absolute,1033,0.05708879423184279,0.010354931738786738,0.007385255628155091,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6892833807194509,2.8943196439511274
s1_relevance,snips,comparative,1033,0.008543754766182236,0.0016555920965351974,0.000864273239266561,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6892833807194509,2.8943196439511274
s1_relevance,snips,absolute,1033,0.057643754766182234,0.010455592096535198,0.007457047745413512,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6892833807194509,2.8943196439511274
